category,location,name,phone
Cell phone store,"· Shop Number 4, Shopping Center, Sector 10, Vijay Path Circle, Madhyam Marg",Navkar Communication,099282 57094
Cell phone store,"· 33, Khatipura Rd, near the relience fresh",Modi Mobile World,088907 11111
Cell phone store,"· Parshuram Circle, Powerhouse Rd, opp. Main Railway Station",Vijayvargiya Communication,098290 16735
Cell phone store,· 80 Feet Rd,Everest Mobile And Electronics,080006 70288
Cell phone store,"· 421, NBC Rd","JaIgUruDeV MOBILE ,(Vivek saini)",N/A
Cell phone store,"· Shop No-24, Garnet House, Amer Rd",Choice mobile shop,093090 90606
Cell phone store,"· Plot No.3, Hawa Sadak Rd, opp. Sodala Police Station",Anokh Enterprises(The Complete Mobile Store),096102 05678
Cell phone store,· ,vivo Experience Center - WTP Jaipur,072300 81171
Cell phone store,"· B 59, Sahakar Marg, near Patanjali ias coching Center",Mama Mobile Point,085608 88772
Cell phone store,"· 84/244, Madhyam Marg, opp. Kendriya Vidyalaya No. 5","Poojara Telecom - Mansarovar, Jaipur",097990 05098
Cell phone store,"· Ajmer Rd, near Elements Mall",Shyam Sales Mobile Store,N/A
Cell phone store,· G5 Luv krishna Height,Mr. MOBILE,089555 58537
Cell phone store,"· B- 129, MI Road, Ganpati Plaza",Tahir Shop,N/A
Cell phone store,· ,"Mi Studio - Pink Square Mall, Jaipur",080003 82113
Cell phone store,"· Shop no 283-284, Madhyam marg, Varun Path",Modi mobile world 2,095717 01000
Cell phone store,"· VQJX+H4G, Near Laxmi Mandir",RS Telecom,N/A
Cell phone store,Open ⋅ Closes 8 pm,Jaipur Mobile's,N/A
Electronics store,"· Shop No, 1128, Subhash Chowk",Latest mobile gallery,083858 89014
Cell phone store,· VV 232,Spartan Mobiles Store - Best Second Hand Mobiles,N/A
Cell phone store,"· F-143, Chaitanya Marg",Mobidekho,090790 12778
Cell phone store,"· Shop no, 5, Mahavir Marg",Mobmistri- Certified Pre-owned iPhones and Macbooks,075688 82524
Cell phone store,"· Axis Mall, B-17, Lajpat Marg",By Own,N/A
Electronics store,"· S-32, Arvind Marg, near Hotel Vesta",Mobile Heaven,N/A
Electronics store,· ,"Imagine Apple Premium Partner, MI Road Jaipur",082874 82874
Electronics store,· ,Samsung SmartPlaza - KS Plaza,070390 03069
Mobile phone repair shop,"· 2nd Floor, City Mall, 204, No C21, Bhagwan Das Rd",Authorised Samsung Service Center - Virasat Communications,078219 99985
Mobile phone repair shop,"· Gupta International Building, Mirza Ismail Rd",Authorised Samsung Service Center - Mangalam,098292 10256
Mobile phone repair shop,"· F-174, Sumer Complex, F-107, behind Bagaria Bhawan",Digital World,098280 14951
Produce market,"· Bagadiya Bhawan, 31",FRUITS SHOP (Since 1976),087644 44424
Outlet store,"· WR83+PPW, Mirza Ismail Rd",Samsung Outlet,N/A
Computer store,· ,HP World - City Mall,086575 68474
Cell phone store,"· 6, Mirza Ismail Rd",Samsung SmartPlaza Satisfaction Electronics,098286 99888
Cell phone store,"· A-2, Jamnalal Bajaj Marg",Motorola Wireless Walky Talky,092144 53304
Cell phone store,"· S.No, 3",Audio Mobile Shop,N/A
Cell phone store,"· 109, Mall 21, In front of Rajmandir cinema, Panchbatti,, Bhagwan Das Rd",Sanchar,0141 400 5055
Cell phone store,"· 101, Navjeevan Chamber, VINOBA MARG",SANCER MOBILES PVT. LTD.,0141 470 0100
Cell phone store,"· F30, Gautam Marg",Amazing mobile cover vaishali nagar,080058 13977
Cell phone store,"· F1, Signature Tower, Gautam Marg, opp. Value Plus Retail",ACCORD - Apple Authorised Reseller Store | Vaishali Nagar,080940 00500
Cell phone accessory store,"· UG 1, Crown square, Gandhi Path W",MI Studio- Vaishali Nagar,096800 07066
Cell phone store,"· Ground Floor, Plot No E20, opposite Motisons Jewellers",Phonewale,090797 96464
Cell phone store,"· No E, Infront of Kiran Fine Jewellers, 10, Gautam Marg",Phonewale,077422 00320
Cell phone accessory store,"· F1, 21A,Moti Nagar West Akshardham Mandir Road Chitrakoot",Mobile E Mart,072218 56099
Mobile phone repair shop,· A-10,Yash communication Since (2004) Mobile Repairing Shop,070739 09090
Mobile phone repair shop,"· Shop No 117, 1st Floor, Mall of Jaipur","Tresor Apple Authorised Service Centre, Vaishali Nagar",N/A
Cell phone accessory store,"· 54, behind National Handloom",Accessories House,095873 07583
Cell phone store,"· Vaishali Tower I, Shop No G 5, Ground Floor, Ist, Nursery Cir",My Jio Store,090827 10914
Mobile phone repair shop,"· Prestige Tower, 104, Vaishali Marg, Amrapali Marg","Mi Service Center, Vaishali, Jaipur, Rajasthan (Qdigi)",0141 412 6668
Cell phone store,"· Shop No. 3, Karni Palace Rd, Opposite Karni Palace",Royal Mobile & Computers,N/A
Electronics store,· ,Reliance Digital,08071 889 584
Cell phone store,"· Shop no 10, Bharat Apartment, Gandhi Path W",Infinity mobile Jaipur,N/A
Cell phone accessory store,"· A 78 nemi nagar manish marg, Gandhi Path W",Golden Sand India - Mobile Covers & Accessories,097833 20305
Cell phone store,· ,KG Digital World,098296 10274
Electronics store,"· Plot No 18, Queens Rd",Samsung SmartPlaza - S S Associates,070390 02603
Mobile phone repair shop,"· V-29, JDA Complex",Sharma Mobiles,099298 67206
Electronics store,· ,Croma - Vaishali Nagar,083769 05950
Cell phone store,"· Sharma tower, Ajmer Rd, near MRF showrrom",RIDHI SIDHI COMMUNICATION,098282 32223
Cell phone store,"· shop no 12, Front Off Liberty Showroom Gandhi Path Road, Amrapali Marg",Jeen Mata Telecom,082333 45777
Mobile phone repair shop,· ,Authorised Samsung Service Center - S S Associates,096100 03238
Cell phone store,Open ⋅ Closes 10:30 pm,Darshan mobile,081492 12992
Mobile phone repair shop,"· shop No 3 Lohia Colony Bajari Mandi, Vaishali Marg W",Mobile service center,078209 32333
Cell phone store,"· WP6V+FVF, Vaishali Chaourha",Mobile Repairing Centre,0141 645 5122
Cell phone store,· B-21 Amrapali Plaza Amrapali Circle Vaishali Nagar,Sulakshya Mobile,098879 88778
Mobile phone repair shop,· WP5W+Q4Q,Jain Mobiles,097990 82725
Cell phone store,"· Plot no 18, Gautam Marg",Agoan Electronics - LG Exclusive and Multi Brand Store,074148 86885
Cell phone store,"· E-30, Vikash nagar,opp Guru narayan Temple",Sakshi Telecom,099837 11010
Cell phone store,"· WP6V+8PG, Amrapali Marg",A One Mobiles,085609 99904
Cell phone store,"· WP3X+FGM, Queens Rd",Laxmi Communications,094601 85065
Cell phone store,"· Shop no. 29, Dhawas Rd, near nimbark mandir",Chamunda mobile,N/A
Cell phone store,"· C 6/12 , Basement",Mobile satisfaction,N/A
Cell phone accessory store,· VPWQ+6M9,1-A Bhura patel nagar vaishali nagar jaipur,N/A
Cell phone accessory store,078783 15734,AK Mobile Shop,078783 15734
Cell phone store,· Akshardham Mandir Rd,Shiv Shakti Mobile Point,097846 33813
Cell phone store,"· 9, 22, Chitrakoot Marg",Mobile services centre,N/A
Electronics store,· ,Lotus Electronics - Vaishali Nagar,091113 00400
Cell phone accessory store,· Shop No 223,N L Retail Mobile,N/A
Cell phone store,"· WP6J+CFQ, Dev Path",Suresh Mobile And Accessories Wholesale & Retaile,099666 49597
Home audio store,"· Shop B-26, Sunny Electronics, Gandhi Path W, nearby Vijay Dwar","JBL Partner Store - Vaishali Nagar, Jaipur",08071 325 627
General store,"· Pilot No. 2 Girraj Vihar Gandhi Path West Vaishali Nagar Girraj Vihar, Gandhi Path W",Vaishali Grocery & General Store,090247 33752
Baby store,"· Ground & 1st Floor, B -215, Vaishali Marg",Momsworth Store Jaipur Vaishali Nagar,N/A
Cell phone store,"· 206A, Amrapali Marg",Karni mobile,N/A
Packaging company,"· B146, Gandhi Path W",My Movers and Packers Vaishali Nagar | Vaishali Nagar Packers and Movers Jaipur,091666 68368
Cell phone store,· WP5W+Q5Q,Bhavika Video Game & Communication,N/A
Cell phone store,· WP4M+PPP,DIVINE MOBILE,N/A
Cell phone store,"· Arihant Infinity, Back Office",Case creation back office,098876 65577
Electric bicycle store,"· Shop No 42, Shree Ram Enterprises, opposite TP School","Hero Lectro Authorised Dealer - Vaishali Nagar, Jaipur",08071 326 283
Baby store,"· C 15Ground Floor, Vaishali Marg",Firstcry.com Store Jaipur Vaishali Nagar,0141 235 0220
Mobile phone repair shop,"· Shop No, 8, Nursery Cir",Mukta Mobile Repairing & Shop,0141 402 9106
Cell phone store,"· Shop No.47A,Lohiya Nagar",Rajasthan Telecom,078915 71540
Electronics store,· WP6V+8PH Gupta Store,RR MOBILE HUB,080595 70594
Cell phone store,"· G 16, Ganeshan Tower",Sentiments Mobile,098285 85730
Cell phone store,"· S/A-61, Gupta Store, near Laxmi Sweets",Nitin Mobile Shop,096947 28890
Print shop,"· s/a, 61, Amrapali Marg",Arihant mobile point,093093 04433
Cell phone store,· WP2Q+WJ7,Shri Shyam Communication,098282 05094
Store,"· Lalarpura Road, Gandhi Path W",Patel Mobile Shop,076985 04432
Cell phone store,· 2,AYAJ MOBILE POINT,098299 61053
Cell phone store,"· Shop No. B&C, Vaibhav Complex, Inox Building, Near, Amrapali Marg",Sandesh,N/A
Men's clothing store,· Plot No 178,"MANS ™ Multi-Brand Men's Innerwear Store [Vaishali Nagar, Jaipur Branch]",N/A
Electronics store,"· 3, Karni Palace Rd",Ramdev mobile,N/A
Cell phone store,· 301,SMART WORLD MOBILE AND ACCESSORIES,098875 55000
Cell phone store,"· shop no- 31, near by roshan restaurants",Realme Smart Store,080940 05020
Cell phone accessory store,· ,Parnami mobile,098295 44366
Electronics store,"· No 1, Police Station, D34, Shanti Path, near Jawahar Nagar",Samsung SmartPlaza - Agoan Electronics,070390 01873
Cell phone accessory store,· ,Mobile Dècor,097821 36060
Electronics store,"· No B10H, Plot, Govind Marg, near Parnami Mandir",Reliance Digital,08071 889 585
Cell phone store,"· 05, Near, Panchwati Cir",iAMobile,N/A
Cell phone store,"· No-1, D-34, Shanti Path, Pulia",Agoan Electronics - Samsung Exclusive and Multi Brand Store,074148 86885
Paan shop,· ,Annu Mobile Paan Bhandar Jaipur I Paan Shop,063502 63686
Cell phone store,"· Ground Floor, Nanak Plaza Raja Park, Plot No 362, opposite Ramada Hotel",Phonewale,090010 10023
Electronics store,"· 2, 243, Shanti Path",Great Eastern Retail Pvt Ltd: Raja Park,033 4037 2000
Mobile phone repair shop,· Shop No 446,Shayam Mobile And Repairing Center,099826 80402
Cell phone store,· 269,Pixel world,095113 62660
Cell phone store,"· Unit No. 83, Ground Floor, Roop Vandana complex, Arya Samaj Rd",My Jio Store,090827 10668
Cell phone store,· 88,C.A. Communication,N/A
Cell phone store,· ,"Vivo Experience Center, Pink Square",072300 81172
Cell phone store,"· 173 B, Sindhi Colony Rd",MOBILE VIEW,085599 84139
Cell phone store,"· Shop No. 22-23, POONIYA COMPLEX, Panchwati Cir",Hotspot Mobile Store,088243 77777
Electronics store,"· Shop no 1 & 2, Plot No. 360, Fashion St",Samsung Experience Store - SS Associates,077269 99635
Electrical & Electronics Stores,· VRWF+PP8,Mobile Gallery,099504 80000
Mobile phone repair shop,· ,Realme Authorized service center,1800 102 2777
Cell phone store,"· 215, Ram Gali Number 1",Vivo Exclusive Store (RAJAPARK),N/A
Dairy store,"· Store no. 238(1B, near Liberty Showroom, opp. Gurudwara",Gau Dairy & More (Raja Park),N/A
Cell phone store,"· VRVG+J67, LBS College Marg",Sakshi Mobile,N/A
Cell phone accessory store,"· 3rd floor, Fancy mobile cover, SHOP, A05",WelcomeCart,096643 06144
Cell phone store,· VRVJ+V2X,Mk,N/A
Home audio store,"· Shop No P, Sing-N-Smile, 392, Fashion St, opposite Khadi India","JBL Partner Store - Raja Park, Jaipur",08071 325 624
Electronics store,"· Shop No-19, 20, Barafkhana, Jawahar Nagar Rd",Jain Electronics,0141 261 7082
General store,· ,Mashhoor Punjabi Kirana Store,098290 95527
Cell phone store,"· Shop No 83, near Mama Hotel",Mobile Doctor',070234 97097
Baby store,"· Shop No 49-50, Parnami Mandi, Govind Marg","Me n Moms Baby Care & Kids Store in Raja Park, Jaipur",088288 97602
Cell phone store,"· Shop No 45, Near, Panchwati Cir",Avinash Icici Mnt,086908 03209
Cell phone store,"· Shop No. Puia No.1, Near Police Station,opp. reliance fresh,, 1, Shanti Path",GNA Incorporative,097823 45678
Cell phone accessory store,"· VRWG+M3J, Lane 1","183 , Shikha Mobile , Raja Park , Jaipur",N/A
Cell phone store,"· Shop number 57, near Hanuman dhabha",Sagar mobile palace,N/A
Cell phone store,"· 443, Govind Marg",Smart Choice,098281 69099
Cell phone store,"· 788-b, Sindhi Colony Rd",radhe radhe mobile,085608 26323
Cell phone accessory store,"· Shop No 1, A.C. Market",Manisha Mobile And Accessories Point,096029 24003
Cell phone store,"· 5, Jorawar Singh Gate",Laxmi Mobile,096609 42429
Sweet shop,"· 50, 6, Shipra Path",LMB CHIRAWA MISHTHAN BHANDAR JAIPUR,N/A
Cell phone store,· AF-9,r k electricals and mobile center,099292 33434
Cell phone store,"· Shop No.A Front Of UCO Bank Market, 3, Jagatpura Rd",Mi Store Redmi Mobile Avilable ( Near SBI Bank Jagatpura ),070141 13699
Cell phone accessory store,· Mkb 1968,S.M. Mobile Point,090011 65973
Cell phone store,"· Shop no, 15, Jagatpura Fatak",Goyal Mobile,077376 65571
Cell phone store,"· Shop No 13, Mahal Rd",Srn Mobile Solutions,070147 81987
Cell phone store,"· RRMP+V6X, Mahal Rd",Sahil Mobile Point,N/A
Cell phone store,"· Shop No - FGF 10, R Tech Capital Highstreet, near Domino’s Pizza",Hello Brother,092524 99999
Electronics store,· RRMF+CHH,Garg Communication,N/A
Cell phone store,"· 12, Sanganer Thana Flyover",Shree Jai Bhawani Communication,099828 70894
Cell phone store,· Ram Nagariya Rd,Prachi mobile and fancy store,070233 88547
Mobile phone repair shop,Open ⋅ Closes 10 pm,R.k. mobile riparing center,077929 27403
Mobile phone repair shop,"· Shop, near BOI ATM",57 Mobile,098876 49864
Cell phone store,"· k saamne, half basement, UCO bank, Jagatpura Rd",Anushka Mobile Repairing &Associaries,090016 57175
Cell phone store,"· RRVJ+38C, 1st Jagatpura Rd",A K Mobile Repairing and Accessories,075972 22877
Mobile phone repair shop,"· 4, Mohan Nagar, Ramnagariya, 03, near Skit College Road",Riddhi Siddhi Mobile Zone,N/A
Cell phone accessory store,· Shop A55,ANKITA MOBILE ACCESSORIES,098871 28383
Electronics store,"· 21 mahesh colony first, near State Bank of India ATM",SWASTIK MOBILE SHOP,N/A
Cell phone accessory store,· Shop 35,Balaji Mobile Point,099295 31095
Cell phone accessory store,090573 90194,Dev mobile repairing Centre and all accessories All mobile sale.,090573 90194
Cell phone store,"· 24, Jagatpura Rd",Hemu mobile repairing,099297 17730
Mobile phone repair shop,"· 248, mkb Manoharpura",atyourdoor mobile repairs,N/A
Electronics store,· ,Electronic Hub (A Unit Of Radhe Govind Enterprises),077424 12831
Electrical & Electronics Stores,"· RV97+HGW, Ram Nagariya Rd, near SKIT, petrol pump Road",Hitarth Mobile,063502 29532
Mobile phone repair shop,"· Shop number 10, Nandan Vihar, Mahima Panorama Chauraha, B-1, VIT Rd",Kesar Mobile Point,N/A
Cell phone store,Open ⋅ Closes 9 pm,Pooja Mobile Communications & Repairing Centre,098877 58800
Cell phone store,"· 2/498, ke Pass, Sabji Mandi Rd",Sagar Mobile Shop,099822 26117
Cell phone accessory store,"· Shop no. 3 in basmant, near, Jagatpura Fatak",SAI MOBILE COVER HOUSE,095299 90226
Cell phone store,"· 438, near Kashish 1",Tara Mobile,083858 66844
Mobile phone repair shop,"· Puliya Ke Niche, Jagatpura Railway Colony, 1",BALAJI MOBILE REPAIRING CENTRE,090270 44482
Store,"· 59, Jagatpura Rd",Shri Vinayak Mobile,090244 39260
Electronics store,· ,Croma - Jagatpura,092050 74951
Cell phone accessory store,"· 3rd floor, Jtm Mall, kb-27",Khalsa Mobile,083879 25858
Mobile phone repair shop,"· Shop No 30, Main Road",Krishna mobile Point,096492 82428
Cell phone store,"· 745, Brij Mohan Marg",Aashirwad Mobile Point,097824 64007
Cell phone store,"· 162, 03, Kumbha Marg",Balaji Mobile World,096803 26565
Mobile phone repair shop,"· Shop, 2nd Jagatpura Rd",Anshu Mobile,097723 57735
Cell phone accessory store,"· SNO 58, Airport Rd",Sharma Mobile,085610 40471
Stationery wholesaler,· Plot No 104 Shop No 3 Nursing Vihar Ramnagaria Opp S K I T Collage,Khandelwal Communication,077330 44431
Cell phone store,082092 41948,Jai Mobile Point And Dth,082092 41948
Electrical & Electronics Stores,"· RRPH+42W, Punjab &Sindh bank ke samne",Ridhi Sidhi Mobile & Electronics,076656 67666
Cell phone store,· Shop No,BHARTI COMMUNICATION,N/A
Cell phone store,· Mahalaxmi Mobile mkb 2154,Mobile shop,N/A
Mobile phone repair shop,· Mob. 81,HN Mobile Point,N/A
Mobile phone repair shop,"· SHOP NO 24, 25",OM SAI TELECOM REPAIRING,092510 87009
Cell phone store,· 1,Badoniya Company,092561 53929
Cell phone store,"· Hanuman plaza, Jagatpura Rd, near UCO Bank",Kanha mobile point,099504 98820
Cell phone store,"· Jagatpura Fatak, near by railway",Roshan Mobile,077376 65571
Cell phone store,· Mehal Road,Topline Communication,097841 60174
Money transfer service,· Shop No 1 Opp SKIT Collage Ramnagariya,Royal e-mitra And mobile repairing centre,089053 83138
Computer store,"· Amar Plaza, Model Town- B, Jagatpura Rd",Dell Exclusive Store - Jagatpura,080 4800 8192
Fabric store,"· near by State Bank of India ATM, near SBI Bank",Mobile Shop,096145 35455
Cell phone store,"· Shop no 15, Raghunath Puri 2nd Rd",Shri Baldev mobile point and repairing,N/A
Cell phone store,"· Shop at Ground Floor, S 23, Scheme No. 10, jagdishpuri, near Radha Krishna Colony",My Jio Store,090827 07062
Cell phone store,· RR35+5RM,J.S.I MOBILE SHOP,N/A
Stationery store,· 119,Arora Stationers and Mobile Accessories,N/A
DJ supply store,· ,Lucky DJ & Audios Jagatpura Jaipur,096102 00467
Cell phone store,· Near Railway Phatak,"Arihant Telecom, Main Market Jagatpura",089553 22006
Cell phone accessory store,· Kachi Bastii Jagatpura,Mahalaxmi Mobile,082399 92223
Cell phone accessory store,· 7,Mangal Mobile,083024 70322
Cell phone accessory store,· 207,Jai ambey mobile,N/A
Cell phone store,"· Number 1, 02 Mahadev Nagar Gali, Ram Nagariya Rd",On Point Mobile,097851 51033
Cell phone store,· RRPC+3Q8,Jagatpura jaipur kachi basti 358,N/A
Mobile phone repair shop,· RRMF+JRG,Nearby mobile shop,N/A
Cell phone store,· Shop No 2 C-27 Kusum Vihar Ramnagrya Road,Ruchi Communication,098285 74214
Cell phone accessory store,· near NRI Road,Jai Shree Shyam Mobile Accessories,093682 51590
Cell phone store,· Shop 29,Timmu Mobile Point,063756 94829
General store,· Shop123,Trinetra Mobile Point,099501 20713
Cell phone store,"· railway, Jagatpura Fatak, Gator Road",Shree Shyam Communication,087398 27383
Mobile phone repair shop,"· rainbow colony, 38",Yashasvi mobile point,090575 55252
Cell phone accessory store,"· 7 No. Chouraha, Jagatpura Jaipur Mahal Road",Yogi Mobile Point,N/A
Store,"· Shop no-2, Godavari Marg",Karadia Mobile & Stationary,099820 01111
Cell phone store,· Shop No 2 Opp J N G Complex 7 No Bus Stand S K I T Road,D T H Plaza,099821 13200
Cell phone store,· SHOP NO 10,MATADEEN MEENA,078781 31477
Cell phone store,"· Shop No 29, Near Rico Area, Sitapura",Vikas Mobile,093149 69703
Print shop,Temporarily closed,Hemant Mobile. Photo Studio,097839 55637
Cell phone store,· Shop No A 160 Near Kidzee School Ramnagariya,Honey Computer,082900 10036
Cell phone store,· Near Gyan Vihar College,Suresh Cafe,089053 07388
Cell phone store,"· Surya, Plot No 347, Shop No 2, Near gangotri garden, Gopalpura Bypass Road, Nagar",Vijayvergiya mobile,078777 77887
Mobile phone repair shop,"· Mobile Shop Baje, Mahaveer Nagar",Mobile Shop,093192 04538
Electronics store,· Gopalpura Bypass Rd,New Mobile Funda,097729 73639
Cell phone store,"· 84/253, opposite kv 5",Nishtha the Mobile Funda,099285 88818
Cell phone store,"· Ajmer Road, Bad Ke Balaji",YASH MOBILE ( NEW),099299 90486
Cell phone store,"· VQGF+W78, Gopalpura By Pass Road, Gopal Pura Bai Pass Road, Near Surya Nagar, Gopalpura",Monu Mobile Centre,N/A
Cell phone store,"· VQ9M+V7J, Gopalpura By Pass Road, Gopal Pura Bai Pass Road, Near Surya Nagar, Gopalpura",Mohan Mobile Point,098280 21521
Mobile phone repair shop,"· B-18 Krishnan Puri Goli Maar sadan, Amer Rd",PhonesPro,N/A
Cell phone store,"· Bilal Masjid Wali, Thathar road, opp. Pandit Chai Wala",Gufran Mobile Point,N/A
Cell phone store,"· Shop No-87, Amer Rd, opposite to Gupta Garden",New Welcome Mobile,098297 96264
Cell phone store,"· XVQ6+F8X, Amer Rd",Krishna MOBILE,N/A
Gift shop,"· Opp CISF campus naradhpura, road, Delhi - Jaipur Expy",Kalra Group Of Services,099507 58888
Cell phone store,"· XVR8+GR8, Amer Rd",Ganpati Communication,N/A
Gift shop,"· Shop No. 19, Near Amer Police Thana, Amer Rd","Paras Gift and Toy Store,Amer, Jaipur",083858 16350
Cell phone accessory store,"· S-3, Amer Rd",Sharma Communication,090570 70702
Cell phone store,"· Shop No. 5, Hanuman Vatika, Chhipawada Mount Road, Amer Road",K. K. Communication,N/A
Cell phone store,"· XVWG+CX7, Mode",Maa Laxmi Mobile Shop,096364 05572
Store,"· B 508 01, Amer Rd",Kesriya Mobile,082909 74212
Cell phone store,"· XVQ4+CF3, Amer Rd",ROYAL MOBILE POINT,N/A
Cell phone store,"· XVR7+2M2, Amer Rd",जय भवानी मोबाईल रिपेयरिंग,N/A
Cell phone store,"· Shop no 70, k samne, Shree Nath Plaza, Ajmer Rd",EXPERT MOBILE STORE,097820 92440
Cell phone store,"· shop no. 1, Ajmer Rd",Radhika Mobile Point,095210 50505
Cell phone store,"· 41, Ajmer Rd",Brands Mobile Store Branch 1,089555 05599
Cell phone store,"· Ganesh Market, Ajmer Rd",Balaji Mobile Store,097820 67182
Cell phone store,"· Shop No 3, D C M Main Road, Ajmer Road",Shri Krishna Mobile Point,085599 73606
Cell phone store,· ,Vivo mobile shop,091664 80919
Cell phone store,"· Shop no.39, opp. Metro pillar no. 120, near shyam Nagar metro station",Ajmera Mobile World,096020 97623
Electronics store,"· Shop no. 6-7, Near Element mall, DCM, Ajmer Rd","Poojara Telecom, DCM - Jaipur",N/A
Cell phone store,"· Highway, Ajmer Rd",Sharma Mobile & General Stores,097852 88376
Cell phone store,"· Shop no 68, Ajmer Rd, opp. Hdfc bank Neer Sagar Market",Jai shree swastik mobile,098281 39764
Cell phone store,"· Infinity jaipur, The Grand Anukampa",Infinity jaipur,N/A
Mobile phone repair shop,"· Heerapura Power House, 30,Nimbar Nagar, Ajmer Rd, near Nimbark Mandir",Shiv Mobile Center,N/A
Cell phone store,"· Ajmer Road, 200, Feet Road",New Mobile Care Point,070142 12569
Cell phone store,"· jaisinghpura Mod,Main Ajmer Road Bhankarota",Techno Tree,099286 83277
Cell phone store,"· LG-2, BRIJ BHAWAN, opposite HP PETROL PUMP AND HOTEL REGENTA CENTRAL",KOTHARI MOBILE STORE,086966 59462
Cell phone store,"· P.-10, Guatam Marg, Gandhi Path W","Poojara Telecom, Vaishali Nagar, Jaipur",080940 05003
Mobile phone repair shop,"· 234,Shyam Nagar Metro Station Near Metro Pillor No 120",Shivam Mobile Solution And Repairing Centar,076109 00095
Mobile phone repair shop,· ,OnePlus Authorized Service Center,0141 357 0108
Cell phone store,"· 68, Ajmer Rd, near Vodafone Mini Store",Jai Shri Swastik,N/A
Mobile phone repair shop,"· Riddhi Siddhi Circle, JAIPUR ELECTRONIC MARKET, F-136",I Care,073001 94307
Cell phone store,· 110,RADHIKA MOBILE POINT,077374 04636
Cell phone store,"· 608, opp. hanuman mandir, near shani mandir",Krishna mobile repairing and mobile accessories,089494 86476
Cell phone store,· RQP8+J88,Shree Ram Mobile Point,072405 54010
Cell phone store,"· shop no.43, Mukundpura road, Ajmer Rd, behind nagar nigam office",Mahi mobile and repairing centre,083858 81523
Cell phone store,"· Shop Number2 Sinwar Rd, Sirsi Rd",S R Mobile Shop,095028 50062
Mobile phone repair shop,"· GROND FLOOR UG03, Elements Mall, Ajmer Rd",lava care,N/A
Cell phone store,· ,Mobile service center,070143 12345
Cell phone store,· Shop N 18,Ganesh Mobile Shop,083027 39499
Cell phone store,· 1 Gujarat,Mobile Shop,094602 10955
Cell phone store,· VQCM+22C,Bewafa 4 mobile shop,N/A
Appliance store,· ,"IFB Point - Ajmer Road, Jaipur",094626 90909
Cell phone accessory store,· Ajmer Rd,Rishika Mobile internet service paytm kyc Cantar,096670 90203
Baby store,"· Ground Floor, East Portion, 3, Ajmer Rd",Babyhug Store Jaipur Ajmer Road,096653 23993
Cell phone store,"· Shop No. 2, Kamla Nehru Nagar, Ajmer Rd",Sudarshan Electricals,098297 52977
Cell phone store,"· 29 30 HANUMAN NAGAR, OPP BALAJI GARDEN SIRSI ROAD, Ajmer Rd",SHRI SHYAM MOBILE AND REPAIRING CENTER,080030 77730
Cell phone store,"· Shop No. 20, Champa Nagar, Gujar Ki Thadi, Shanti Nagar Rd",Shree Ram Computer And Mobile Gallery,099503 35585
Cell phone store,"· VQH8+QJM, Gurjar Ki Thadi Upas",Mama Bhanja Mobile Point,077378 99991
Cell phone store,"· Kamla Nehru Nagar, Ajmer Rd",Sharma Mobile,082093 11090
Cell phone accessory store,"· G-102, P.NO-143, MODI NAGAR, Panchsheel Colony, Ajmer Road",Expert Deal On line shoping hub,098290 15692
Cell phone accessory store,"· Shakti Nagar, Gajsinghpura Ajmer Rd",Jiya Mobile Point,089528 82229
Cell phone store,"· Luharo Ka Khurra, 1515, Ghee Walo Ka Rasta",Unique Mobile,076889 65939
Cell phone store,"· Johari Market, KGB Ka Rasta",Rangoli Mobile Point,093529 47394
